date,value
Tue Mar 13 2018 17:47:56 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:57 GMT-0500 (EST),478
Tue Mar 13 2018 17:47:57 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:58 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:58 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:59 GMT-0500 (EST),477
Tue Mar 13 2018 17:47:59 GMT-0500 (EST),478
Tue Mar 13 2018 17:48:00 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:00 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:01 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:01 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:02 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:02 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:03 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:03 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:04 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:04 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:05 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:07 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:05 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:06 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:06 GMT-0500 (EST),478
Tue Mar 13 2018 17:48:07 GMT-0500 (EST),478
Tue Mar 13 2018 17:48:08 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:08 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:09 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:09 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:10 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:12 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:10 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:11 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:11 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:12 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:13 GMT-0500 (EST),478
Tue Mar 13 2018 17:48:13 GMT-0500 (EST),477
Tue Mar 13 2018 17:48:14 GMT-0500 (EST),478
Tue Mar 13 2018 17:48:14 GMT-0500 (EST),477
